ville,latitude,longitude,type_incident,gravite,date_signalement,heure,jour_semaine,nb_signalements_30j,precipitation_mm,temperature_c,risk_score,niveau_risque
Garoua,9.274238,13.3751,inondation,4,2026-04-12 17:49:38,17,6,19.0,113.6,36.3,0.7614,ELEVE
Yaoundé,3.844807,11.49873,glissement,2,2026-02-25 09:17:38,9,2,10.0,118.1,31.2,0.6666,ELEVE
Ngaoundéré,7.338359,13.60171,inondation,5,2026-03-26 02:42:38,2,3,,,,0.6635,ELEVE
Ngaoundéré,7.334536,13.60572,inondation,5,2025-09-17 22:11:38,22,2,24.0,82.6,20.5,0.7041,ELEVE
Bafoussam,5.432674,10.454154,pollution,1,2025-06-29 03:56:38,3,6,1.0,31.5,18.8,0.5056,MOYEN
Ngaoundéré,7.292172,13.62033,accident_route,3,2026-03-09 16:23:38,16,0,15.0,106.2,27.5,0.4077,MOYEN
Yaoundé,3.82088,11.459798,inondation,4,2026-03-05 02:02:38,2,3,2.0,115.3,19.6,0.9582,ELEVE
Bafoussam,5.511344,10.388234,accident_route,3,2025-11-09 14:05:38,14,6,25.0,40.4,19.9,0.5914,MOYEN
Ngaoundéré,7.35873,13.548792,criminalité,5,2026-03-20 01:37:38,1,4,19.0,36.0,34.3,0.6784,ELEVE
Yaoundé,3.879583,11.474544,pollution,4,2026-03-26 16:19:38,16,3,4.0,88.3,31.1,0.7443,ELEVE
Ngaoundéré,7.287566,13.623219,accident_route,1,2025-09-13 01:00:38,1,5,23.0,89.1,26.2,0.5903,MOYEN
Yaoundé,3.799135,11.498966,inondation,3,2025-10-22 14:42:38,14,2,19.0,24.6,34.6,0.7785,ELEVE
Bafoussam,5.439074,10.421796,pollution,2,2026-02-03 15:03:38,15,1,19.0,113.8,31.2,0.4688,MOYEN
Maroua,10.594886,14.314829,inondation,1,2025-09-02 20:21:38,20,1,23.0,16.3,21.3,0.8417,ELEVE
Garoua,9.28142,13.377394,inondation,1,2026-04-02 06:31:38,6,3,21.0,27.4,19.8,0.7127,ELEVE
Ngaoundéré,7.29085,13.562688,inondation,4,2025-10-27 05:24:38,5,0,15.0,80.6,29.0,0.6847,ELEVE
Ebolowa,2.923788,11.170455,accident_route,5,2026-03-30 18:54:38,18,0,16.0,48.0,28.3,0.5816,MOYEN
Maroua,10.643187,14.354554,inondation,5,2026-03-08 12:17:38,12,6,12.0,60.3,31.3,1.0,ELEVE
Yaoundé,3.836783,11.532454,criminalité,4,2026-01-26 05:31:38,5,0,4.0,40.8,36.8,0.726,ELEVE
Ebolowa,2.864008,11.151833,criminalité,5,2025-11-04 20:46:38,20,1,8.0,99.7,19.7,0.6123,MOYEN
Ngaoundéré,7.31209,13.540156,inondation,2,2025-11-10 07:23:38,7,0,7.0,64.7,32.5,0.5965,MOYEN
Maroua,10.635456,14.35272,accident_route,1,2025-08-23 05:05:38,5,5,19.0,108.1,21.7,0.8141,ELEVE
Bertoua,4.620499,13.70306,glissement,3,2026-02-26 14:27:38,14,3,22.0,76.4,26.8,0.6543,ELEVE
Garoua,9.289062,13.434797,accident_route,3,2025-12-21 19:05:38,19,6,25.0,74.2,27.5,0.7865,ELEVE
Bertoua,4.612215,13.713881,criminalité,3,2025-12-03 03:32:38,3,2,7.0,75.0,36.7,0.7543,ELEVE
Yaoundé,3.803035,11.457377,pollution,2,2025-07-17 07:45:38,7,3,11.0,51.6,29.9,0.5174,MOYEN
Bafoussam,5.498214,10.435011,accident_route,3,2025-08-29 13:46:38,13,4,7.0,52.7,26.3,0.5572,MOYEN
Garoua,9.259346,13.435242,inondation,3,2026-01-26 20:35:38,20,0,19.0,10.8,31.4,0.995,ELEVE
Ebolowa,2.859653,11.124189,incendie,2,2025-08-19 14:04:38,14,1,1.0,74.7,23.1,0.4494,MOYEN
Maroua,10.591545,14.352902,criminalité,5,2025-09-17 22:33:38,22,2,13.0,43.8,31.1,0.9402,ELEVE
Ngaoundéré,7.340513,13.624861,accident_route,5,2025-08-12 07:42:38,7,1,5.0,45.2,37.7,0.7113,ELEVE
Bertoua,4.550932,13.658697,inondation,4,2026-03-29 14:31:38,14,6,10.0,38.7,30.8,0.8332,ELEVE
Bafoussam,5.471785,10.439951,inondation,2,2025-12-12 23:11:38,23,4,16.0,119.8,27.3,0.5178,MOYEN
Garoua,9.333874,13.382675,inondation,2,2026-03-24 02:50:38,2,1,1.0,71.9,27.8,0.6517,ELEVE
Ebolowa,2.881616,11.150723,inondation,4,2026-02-24 02:47:38,2,1,12.0,98.5,28.3,0.6486,MOYEN
Douala,4.081671,9.750718,glissement,4,2026-01-15 02:11:38,2,3,23.0,76.0,22.6,1.0,ELEVE
Maroua,10.585532,14.289642,inondation,5,2025-07-06 21:44:38,21,6,15.0,12.3,35.4,1.0,ELEVE
Bertoua,4.55076,13.729922,criminalité,1,2026-02-19 00:41:38,0,3,12.0,61.6,20.2,0.5652,MOYEN
Yaoundé,3.826427,11.465483,inondation,3,2026-02-07 01:24:38,1,5,17.0,99.5,27.4,0.7393,ELEVE
Bertoua,4.561619,13.702962,pollution,3,2025-08-01 01:22:38,1,4,24.0,49.6,34.8,0.6459,MOYEN
Yaoundé,3.831156,11.537603,accident_route,2,2025-10-28 03:16:38,3,1,10.0,76.7,32.0,0.5698,MOYEN
Ebolowa,2.941549,11.103395,pollution,3,2025-10-26 17:38:38,17,6,21.0,59.5,30.3,0.4966,MOYEN
Douala,4.033468,9.760444,criminalité,5,2025-12-24 22:12:38,22,2,21.0,33.4,37.2,1.0,ELEVE
Bafoussam,5.487416,10.372335,incendie,4,2026-02-23 23:56:38,23,0,3.0,65.8,22.8,0.64,MOYEN
Douala,4.098634,9.799597,glissement,1,2025-09-26 11:32:38,11,4,5.0,112.6,20.5,0.7687,ELEVE
Ebolowa,2.920772,11.10622,incendie,5,2026-04-19 18:40:38,18,6,,,,0.6373,MOYEN
Ebolowa,2.857455,11.198689,pollution,5,2025-08-23 14:34:38,14,5,16.0,113.6,21.3,0.6259,MOYEN
Ngaoundéré,7.355757,13.57545,incendie,4,2025-12-26 22:15:38,22,4,1.0,34.2,25.0,0.5993,MOYEN
Bafoussam,20.773087962930536,30.71123260933555,inondation,3,2025-09-27 13:03:38,13,5,22.0,96.0,35.0,0.6993,ELEVE
Yaoundé,3.867228,11.53702,inondation,5,2025-08-07 05:30:38,5,3,11.0,103.6,18.2,0.9448,ELEVE
Bafoussam,5.490994,10.454747,inondation,3,2025-12-11 05:36:38,5,3,13.0,78.0,35.0,0.648,MOYEN
Ebolowa,2.909508,11.105143,incendie,1,2026-06-05 18:49:38,18,4,18.0,67.6,18.7,0.416,MOYEN
Bertoua,4.563997,13.709385,accident_route,4,2025-08-06 01:14:38,1,2,14.0,40.0,31.4,0.7726,ELEVE
Bertoua,4.540131,13.646119,inondation,5,2025-07-21 23:34:38,23,0,5.0,28.4,23.2,0.8567,ELEVE
Ebolowa,2.895624,11.136905,glissement,3,2025-12-16 05:28:38,5,1,5.0,61.0,26.1,0.5085,MOYEN
Bafoussam,5.527935,10.460311,glissement,5,2025-09-19 04:30:38,4,4,15.0,75.7,30.7,0.8211,ELEVE
Bertoua,4.56825,13.695185,inondation,5,2025-12-23 05:40:38,5,1,16.0,75.0,33.2,0.7798,ELEVE
Douala,4.096186,9.733006,glissement,1,2025-10-15 09:24:38,9,2,1.0,5.3,35.3,0.7649,ELEVE
Bertoua,4.595209,13.654098,accident_route,1,2025-10-21 15:56:38,15,1,4.0,71.3,26.9,0.5455,MOYEN
Ebolowa,2.885538,11.178379,glissement,5,2026-02-10 20:36:38,20,1,1.0,1.4,22.2,0.5543,MOYEN
Bertoua,4.58474,13.696061,accident_route,2,2026-01-18 17:03:38,17,6,20.0,88.0,27.2,0.6009,MOYEN
Bertoua,4.536505,13.655618,incendie,1,2026-05-10 12:17:38,12,6,17.0,90.0,31.9,0.5073,MOYEN
Maroua,10.570266,14.321496,accident_route,4,2025-08-08 02:14:38,2,4,23.0,68.7,23.6,0.9968,ELEVE
Maroua,10.614694,14.313074,criminalité,4,2025-12-04 22:36:38,22,3,10.0,66.5,21.8,0.905,ELEVE
Bertoua,4.599024,13.641735,inondation,1,2025-07-09 19:23:38,19,2,4.0,11.7,35.7,0.5194,MOYEN
Ngaoundéré,7.321142,13.623067,inondation,2,2026-05-25 02:06:38,2,0,14.0,36.1,19.2,0.5961,MOYEN
Maroua,10.600442,14.281046,criminalité,5,2025-12-21 10:53:38,10,6,7.0,23.7,21.5,1.0,ELEVE
Garoua,9.30764,13.394605,incendie,1,2026-05-21 06:40:38,6,3,2.0,11.2,25.6,0.5819,MOYEN
Maroua,10.636209,14.275616,glissement,5,2026-01-24 19:28:38,19,5,2.0,66.1,36.3,1.0,ELEVE
Yaoundé,3.878348,11.545023,criminalité,1,2025-07-11 01:38:38,1,4,25.0,60.5,26.5,0.549,MOYEN
Bertoua,4.583065,13.67164,criminalité,1,2025-09-25 19:20:38,19,3,13.0,106.1,33.5,0.5986,MOYEN
Yaoundé,3.874899,11.546577,inondation,3,2025-10-06 14:40:38,14,0,9.0,34.7,20.4,0.7804,ELEVE
Douala,4.045654,9.738819,incendie,3,2025-12-30 00:21:38,0,1,2.0,3.9,29.1,1.0,ELEVE
Ngaoundéré,7.356127,13.541204,criminalité,5,2026-02-06 13:07:38,13,4,8.0,7.7,18.4,0.7825,ELEVE
Yaoundé,46.93893940543366,39.19298468110115,criminalité,3,2025-06-27 20:40:38,20,4,17.0,22.9,31.5,0.8108,ELEVE
Ebolowa,2.949889,11.132664,inondation,2,2025-07-25 22:10:38,22,4,7.0,28.0,31.2,0.3472,FAIBLE
Bafoussam,5.51208,10.405383,incendie,4,2026-03-20 10:36:38,10,4,16.0,113.6,27.5,0.6366,MOYEN
Ebolowa,2.913239,11.115648,inondation,1,2026-02-16 07:31:38,7,0,3.0,20.1,25.8,0.4253,MOYEN
Bafoussam,5.488891,10.443488,incendie,4,2025-12-20 16:02:38,16,5,13.0,2.3,22.5,0.6718,ELEVE
Bafoussam,5.515278,10.388921,glissement,3,2025-07-20 10:01:38,10,6,19.0,84.6,20.8,0.5279,MOYEN
Ebolowa,2.898089,11.166243,criminalité,3,2025-07-30 06:44:38,6,2,10.0,60.6,24.0,0.4451,MOYEN
Maroua,10.56242,14.362333,accident_route,4,2026-04-29 19:12:38,19,2,2.0,75.1,18.2,0.9825,ELEVE
Ebolowa,2.919216,11.106229,accident_route,1,2025-11-16 06:56:38,6,6,9.0,11.8,32.5,0.3109,FAIBLE
Yaoundé,3.802523,11.484633,glissement,3,2026-03-03 15:24:38,15,1,4.0,104.5,24.0,0.7937,ELEVE
Ngaoundéré,7.294005,13.566268,inondation,2,2026-03-12 21:16:38,21,3,16.0,110.1,35.6,0.5678,MOYEN
Yaoundé,38.68260209719523,42.58882148420431,criminalité,2,2025-07-19 17:24:38,17,5,18.0,103.0,26.4,0.6306,MOYEN
Bafoussam,5.456104,10.452834,incendie,3,2026-02-05 10:03:38,10,3,15.0,70.8,32.3,0.5228,MOYEN
Ngaoundéré,7.350024,13.565235,glissement,1,2025-11-17 06:16:38,6,0,8.0,117.6,28.2,0.5235,MOYEN
Ngaoundéré,7.347326,13.541413,criminalité,4,2025-12-05 03:52:38,3,4,,,,0.7836,ELEVE
Bafoussam,5.516975,10.462565,pollution,2,2025-07-21 04:14:38,4,0,18.0,33.7,28.8,0.421,MOYEN
Ebolowa,2.881098,11.132518,inondation,4,2026-01-14 15:58:38,15,2,4.0,79.1,25.1,0.668,ELEVE
Bafoussam,5.493529,10.38221,criminalité,2,2026-02-24 22:33:38,22,1,19.0,23.5,30.3,0.4377,MOYEN
Ebolowa,2.901168,11.153211,accident_route,2,2026-06-17 01:20:38,1,2,20.0,0.6,19.6,0.4661,MOYEN
Bertoua,4.562591,13.686368,incendie,4,2025-09-27 21:54:38,21,5,1.0,30.1,32.2,0.5781,MOYEN
Yaoundé,3.895338,11.498601,inondation,3,2025-12-12 17:05:38,17,4,18.0,6.5,36.4,0.8003,ELEVE
Garoua,9.348115,13.403219,inondation,4,2025-08-09 12:26:38,12,5,20.0,41.1,32.5,0.9263,ELEVE
Bertoua,4.543092,13.667865,glissement,2,2025-10-23 00:54:38,0,3,12.0,75.7,31.5,0.6676,ELEVE
Ngaoundéré,7.324607,13.612318,inondation,3,2025-10-06 07:09:38,7,0,23.0,112.4,31.0,0.6551,ELEVE
Garoua,9.326138,13.412696,glissement,3,2026-01-01 09:59:38,9,3,25.0,85.8,25.7,0.7501,ELEVE
Bertoua,4.561219,13.677002,incendie,2,2025-11-13 00:32:38,0,3,,,,0.4787,MOYEN
Douala,4.01845,9.755875,inondation,5,2025-10-13 10:29:38,10,0,19.0,118.5,27.6,1.0,ELEVE
Ngaoundéré,7.362062,13.630303,inondation,5,2026-05-14 04:03:38,4,3,25.0,116.0,26.7,0.6862,ELEVE
Ngaoundéré,7.373146,13.57241,criminalité,5,2025-12-31 00:51:38,0,2,11.0,104.4,37.6,0.601,MOYEN
Bafoussam,5.448263,10.383366,inondation,5,2026-04-25 20:45:38,20,5,19.0,4.9,35.3,0.7204,ELEVE
Maroua,10.561879,14.333921,inondation,4,2025-10-11 21:58:38,21,5,4.0,21.1,32.6,1.0,ELEVE
Ngaoundéré,7.373445,13.597973,accident_route,4,2025-11-21 12:00:38,12,4,5.0,1.7,20.2,0.7389,ELEVE
Ngaoundéré,7.375947,13.620351,criminalité,3,2026-04-30 23:09:38,23,3,21.0,117.6,37.0,0.576,MOYEN
Ngaoundéré,7.317817,13.601213,inondation,4,2026-05-30 13:17:38,13,5,15.0,62.7,31.5,0.7299,ELEVE
Douala,4.063566,9.756094,incendie,5,2026-01-15 18:04:38,18,3,1.0,85.1,33.8,1.0,ELEVE
Garoua,9.303273,13.389754,inondation,4,2026-02-21 16:47:38,16,5,13.0,108.3,21.3,1.0,ELEVE
Maroua,10.570449,14.348795,inondation,5,2026-02-06 03:09:38,3,4,20.0,81.6,20.4,1.0,ELEVE
Ngaoundéré,7.363271,13.565135,criminalité,5,2026-03-28 00:21:38,0,5,10.0,68.1,36.0,0.6757,ELEVE
Maroua,10.638069,14.362134,inondation,5,2026-04-27 06:12:38,6,0,15.0,53.0,31.5,1.0,ELEVE
Douala,4.033551,9.744851,inondation,3,2025-07-10 03:04:38,3,3,11.0,23.6,24.6,0.9437,ELEVE
Ebolowa,2.895476,11.167479,inondation,3,2025-09-10 15:45:38,15,2,1.0,72.8,21.5,0.6008,MOYEN
Ebolowa,2.945144,11.117549,criminalité,2,2025-06-22 06:44:38,6,6,11.0,2.0,25.2,0.4005,MOYEN
Maroua,10.562549,14.33008,glissement,5,2025-08-21 04:42:38,4,3,2.0,41.7,26.6,1.0,ELEVE
Bafoussam,5.479367,10.396349,inondation,1,2026-02-10 22:37:38,22,1,17.0,13.9,24.2,0.3998,MOYEN
Ebolowa,2.918813,11.14376,glissement,1,2026-03-03 14:20:38,14,1,6.0,27.6,28.3,0.3565,MOYEN
Bertoua,4.537429,13.71713,accident_route,5,2025-12-06 09:59:38,9,5,9.0,21.4,37.3,0.7969,ELEVE
Ngaoundéré,7.307378,13.570108,pollution,2,2026-06-06 00:36:38,0,5,16.0,75.8,34.2,0.437,MOYEN
Yaoundé,3.814007,11.498256,pollution,5,2025-07-12 01:15:38,1,5,20.0,37.9,36.0,0.8805,ELEVE
Ebolowa,2.881616,11.150723,inondation,4,2026-02-24 02:47:38,2,1,12.0,98.5,28.3,0.6486,MOYEN
Yaoundé,3.803618,11.50121,glissement,4,2025-11-10 05:57:38,5,0,,,,0.8364,ELEVE
Maroua,10.551356,14.329353,pollution,3,2026-02-21 19:39:38,19,5,11.0,96.5,27.4,0.929,ELEVE
Maroua,10.620344,14.321781,inondation,5,2025-06-23 08:58:38,8,0,7.0,110.5,35.0,1.0,ELEVE
Bafoussam,5.499505,10.376139,criminalité,5,2025-11-12 15:57:38,15,2,17.0,66.2,28.4,0.5466,MOYEN
Ngaoundéré,7.344761,13.590631,incendie,4,2026-01-21 03:39:38,3,2,24.0,65.5,30.1,0.7171,ELEVE
Ngaoundéré,7.312945,13.615283,glissement,1,2026-06-16 08:14:38,8,1,19.0,67.6,29.3,0.5415,MOYEN
Ebolowa,2.881383,11.12415,criminalité,5,2026-01-12 06:50:38,6,0,19.0,78.0,22.1,0.5322,MOYEN
Ebolowa,2.897228,11.188016,incendie,4,2026-01-18 14:45:38,14,6,19.0,71.8,20.9,0.5898,MOYEN
Ngaoundéré,7.333091,13.603443,inondation,4,2026-06-16 08:30:38,8,1,7.0,0.9,37.7,0.5631,MOYEN
Ebolowa,2.908873,11.137533,glissement,1,2025-07-08 19:55:38,19,1,11.0,94.5,18.9,0.5001,MOYEN
Bafoussam,5.45804,10.402872,accident_route,5,2025-08-05 06:44:38,6,1,10.0,41.7,18.1,0.7258,ELEVE
Bertoua,4.592067,13.694993,inondation,1,2025-08-25 04:29:38,4,0,6.0,16.2,28.3,0.5115,MOYEN
Maroua,10.551384,14.37131,inondation,2,2026-03-22 19:02:38,19,6,25.0,54.9,32.9,0.8756,ELEVE
Bertoua,4.584909,13.710763,incendie,4,2026-04-17 10:12:38,10,4,13.0,68.4,24.4,0.5865,MOYEN
Ebolowa,2.861989,11.173493,criminalité,5,2026-06-12 13:17:38,13,4,1.0,74.0,36.2,0.6978,ELEVE
Douala,4.098687,9.75159,glissement,3,2025-07-27 21:37:38,21,6,22.0,47.5,20.0,0.8913,ELEVE
Douala,4.036789,9.753279,criminalité,3,2025-09-01 15:08:38,15,0,25.0,10.8,24.1,0.814,ELEVE
Bafoussam,5.499318,10.390725,accident_route,1,2026-01-18 23:13:38,23,6,18.0,55.9,19.2,0.3147,FAIBLE
Bafoussam,5.442077,10.446527,accident_route,5,2026-03-20 12:24:38,12,4,21.0,20.2,36.8,0.7434,ELEVE
Maroua,10.608862,14.367603,inondation,5,2026-03-07 16:39:38,16,5,13.0,35.5,19.1,1.0,ELEVE
Maroua,10.564063,14.308611,criminalité,4,2025-06-25 23:35:38,23,2,17.0,111.9,20.7,0.9015,ELEVE
Yaoundé,3.875092,11.536578,glissement,0,2026-05-22 22:46:38,22,4,24.0,87.3,20.1,0.6874,ELEVE
Ngaoundéré,7.378724,13.536803,inondation,3,2026-05-15 11:25:38,11,4,14.0,77.8,23.8,0.5657,MOYEN
Garoua,9.313415,13.387941,incendie,2,2026-02-12 11:27:38,11,3,14.0,116.1,29.1,0.6073,MOYEN
Douala,4.001113,9.769013,inondation,2,2025-11-14 11:58:38,11,4,6.0,33.1,31.9,0.8822,ELEVE
Ebolowa,2.883721,11.114284,inondation,4,2026-05-15 07:33:38,7,4,2.0,102.5,24.5,0.516,MOYEN
Ngaoundéré,7.346073,13.589844,incendie,5,2026-04-21 03:25:38,3,1,21.0,105.1,33.7,0.7328,ELEVE
Yaoundé,3.829182,11.502714,criminalité,5,2025-10-10 14:39:38,14,4,13.0,95.6,35.0,0.8924,ELEVE
Bertoua,4.624492,13.687194,glissement,1,2025-10-16 15:58:38,15,3,12.0,38.8,18.3,0.6283,MOYEN
Ebolowa,2.948401,11.128841,pollution,2,2026-05-31 04:41:38,4,6,7.0,62.4,31.6,0.5138,MOYEN
Ngaoundéré,7.301925,13.606025,incendie,1,2026-01-20 04:11:38,4,1,24.0,104.7,30.6,0.3817,MOYEN
Bertoua,4.610274,13.731957,criminalité,4,2025-08-26 12:58:38,12,1,1.0,15.1,24.9,0.5907,MOYEN
Douala,4.07959,9.788668,inondation,4,2025-08-11 12:56:38,12,0,16.0,65.8,18.5,0.9764,ELEVE
Garoua,9.258765,13.387754,glissement,4,2025-09-19 22:15:38,22,4,5.0,54.9,21.9,0.9756,ELEVE
Yaoundé,3.870397,11.464156,inondation,2,2026-04-14 06:43:38,6,1,1.0,90.8,31.2,0.7963,ELEVE
Douala,4.019068,9.741654,inondation,2,2026-05-12 18:57:38,18,1,16.0,101.3,24.2,0.9017,ELEVE
Bafoussam,5.475517,10.376783,incendie,4,2025-11-15 07:17:38,7,5,25.0,66.0,27.1,0.6255,MOYEN
Ngaoundéré,7.30725,13.569105,incendie,5,2026-01-06 09:39:38,9,1,8.0,112.3,22.4,0.8294,ELEVE
Garoua,9.338358,13.439087,incendie,5,2026-02-01 00:41:38,0,6,10.0,93.4,28.1,0.844,ELEVE
Bertoua,4.606358,13.668613,accident_route,4,2026-02-25 14:57:38,14,2,19.0,3.7,33.2,0.6401,MOYEN
Garoua,9.253243,13.383043,inondation,2,2025-11-25 23:44:38,23,1,23.0,79.8,21.2,0.6887,ELEVE
Garoua,9.294273,13.39277,accident_route,2,2025-11-09 15:53:38,15,6,3.0,64.6,26.9,0.72,ELEVE
Yaoundé,3.854731,11.477756,glissement,3,2026-06-01 20:19:38,20,0,24.0,13.9,35.0,0.7319,ELEVE
Maroua,10.611791,14.349518,accident_route,1,2025-09-15 20:40:38,20,0,13.0,21.7,34.1,0.5707,MOYEN
Douala,4.012143,9.746819,pollution,5,2025-12-01 22:29:38,22,0,2.0,59.0,36.7,1.0,ELEVE
Bafoussam,5.484584,10.373571,criminalité,0,2026-04-26 21:18:38,21,6,23.0,65.9,27.4,0.5874,MOYEN
Bafoussam,5.502704,10.425337,glissement,5,2025-10-26 14:59:38,14,6,22.0,104.0,20.6,0.7258,ELEVE
Yaoundé,3.813335,11.510723,accident_route,5,2025-10-05 03:12:38,3,6,22.0,57.4,25.5,0.9697,ELEVE
Bafoussam,5.511039,10.395152,incendie,4,2025-07-12 15:50:38,15,5,11.0,67.9,31.2,0.5152,MOYEN
Ngaoundéré,7.324912,13.564129,inondation,4,2025-11-11 04:58:38,4,1,14.0,22.2,37.0,0.6571,ELEVE
Garoua,9.25986,13.395763,incendie,2,2025-07-28 01:29:38,1,0,16.0,6.5,26.7,0.7481,ELEVE
Ngaoundéré,7.284196,13.612428,accident_route,4,2025-08-12 15:42:38,15,1,6.0,66.0,28.1,0.5818,MOYEN
Maroua,10.638418,14.367314,inondation,1,2026-02-11 09:56:38,9,2,21.0,83.3,33.0,0.9,ELEVE
Ngaoundéré,7.366368,13.632208,inondation,1,2026-06-18 12:53:38,12,3,11.0,77.8,31.5,0.6227,MOYEN
Ebolowa,2.900036,11.169088,incendie,2,2026-06-20 11:49:38,11,5,22.0,63.9,26.8,0.5385,MOYEN
Douala,4.029584,9.721589,inondation,2,2026-03-26 11:45:38,11,3,12.0,69.9,21.0,0.7165,ELEVE
Bertoua,4.552215,13.724443,inondation,3,2025-09-07 08:05:38,8,6,24.0,112.1,22.5,0.6051,MOYEN
Ngaoundéré,7.326392,13.60544,criminalité,4,2025-09-19 20:37:38,20,4,12.0,63.1,27.7,0.7153,ELEVE
Bafoussam,5.524462,10.452301,glissement,1,2026-04-12 10:51:38,10,6,10.0,69.1,36.2,0.4979,MOYEN
Douala,4.024295,9.756991,glissement,4,2025-11-28 13:23:38,13,4,24.0,78.4,20.1,1.0,ELEVE
Maroua,10.57153,14.317366,incendie,1,2025-09-21 14:10:38,14,6,4.0,76.4,30.4,0.6685,ELEVE
Maroua,10.62502,14.283699,incendie,4,2025-08-21 21:47:38,21,3,22.0,115.6,22.0,0.8679,ELEVE
Douala,4.058928,9.721494,accident_route,2,2025-09-26 16:39:38,16,4,16.0,33.2,29.8,0.7582,ELEVE
Yaoundé,3.878367,11.470757,accident_route,4,2026-05-23 04:28:38,4,5,17.0,38.0,23.2,0.8632,ELEVE
Ebolowa,2.94244,11.197106,inondation,3,2025-06-23 22:13:38,22,0,20.0,45.6,35.2,0.4435,MOYEN
Douala,4.053439,9.729377,inondation,1,2025-07-12 14:03:38,14,5,2.0,24.2,27.7,0.826,ELEVE
Maroua,10.576891,14.30151,glissement,3,2025-07-14 03:09:38,3,0,5.0,102.4,35.5,0.8881,ELEVE
Ngaoundéré,7.290871,13.631857,incendie,4,2025-09-22 03:43:38,3,0,9.0,13.0,26.8,0.6475,MOYEN
Garoua,9.258178,13.415262,pollution,1,2026-05-03 20:39:38,20,6,2.0,61.8,36.2,0.6747,ELEVE
Ebolowa,2.852007,11.132208,accident_route,1,2026-05-10 02:28:38,2,6,8.0,86.2,23.8,0.3763,MOYEN
Ebolowa,2.945661,11.106896,inondation,1,2025-09-30 00:39:38,0,1,25.0,11.3,31.3,0.4341,MOYEN
Bafoussam,5.479085,10.417128,glissement,1,2025-12-20 01:03:38,1,5,2.0,14.1,28.3,0.2896,FAIBLE
Garoua,9.29382,13.41876,accident_route,4,2025-12-11 21:44:38,21,3,2.0,98.0,34.9,0.7757,ELEVE
Douala,4.066551,9.745226,criminalité,5,2025-12-21 11:23:38,11,6,19.0,20.0,21.1,1.0,ELEVE
Douala,4.077461,9.731911,criminalité,2,2025-07-16 18:16:38,18,2,22.0,72.6,18.8,0.9557,ELEVE
Ebolowa,2.886753,11.106817,accident_route,4,2025-11-28 10:16:38,10,4,22.0,14.2,18.1,0.4548,MOYEN
Garoua,9.279652,13.427264,inondation,2,2026-05-14 11:07:38,11,3,24.0,71.8,36.9,0.8204,ELEVE
Ngaoundéré,7.348244,13.632926,criminalité,5,2026-04-24 01:37:38,1,4,22.0,43.6,27.1,0.8311,ELEVE
Yaoundé,3.892046,11.547493,glissement,2,2025-07-01 05:01:38,5,1,8.0,15.1,31.4,0.6343,MOYEN
Douala,4.021477,9.770233,accident_route,3,2025-07-10 09:43:38,9,3,19.0,45.8,33.6,0.9719,ELEVE
Bertoua,4.583908,13.706907,criminalité,5,2025-07-07 02:14:38,2,0,13.0,103.2,33.5,0.682,ELEVE
Douala,4.079137,9.765534,incendie,4,2026-02-19 07:07:38,7,3,9.0,105.5,36.7,0.9249,ELEVE
Garoua,9.282887,13.40522,accident_route,3,2026-01-17 03:28:38,3,5,12.0,4.0,18.8,0.7693,ELEVE
Maroua,10.564127,14.302264,pollution,5,2026-02-14 15:49:38,15,5,15.0,114.6,27.6,1.0,ELEVE
Ebolowa,2.914832,11.107411,inondation,2,2025-07-12 11:00:38,11,5,10.0,70.1,28.3,0.2902,FAIBLE
Douala,4.046074,9.795571,inondation,4,2025-12-03 10:02:38,10,2,9.0,70.2,25.9,1.0,ELEVE
Maroua,10.581381,14.339182,inondation,4,2026-04-09 09:29:38,9,3,1.0,117.2,27.3,1.0,ELEVE
Bafoussam,5.50938,10.461725,incendie,3,2026-05-30 09:36:38,9,5,18.0,50.3,32.8,0.4142,MOYEN
Bertoua,4.572313,13.671294,incendie,1,2026-06-07 11:02:38,11,6,15.0,49.9,27.3,0.6061,MOYEN
Garoua,9.258846,13.40145,accident_route,2,2025-12-27 04:35:38,4,5,21.0,55.0,18.2,0.8338,ELEVE
Garoua,9.260944,13.371317,glissement,1,2025-11-20 00:35:38,0,3,24.0,65.3,28.6,0.7491,ELEVE
Douala,4.07184,9.756823,glissement,1,2025-08-13 02:41:38,2,2,25.0,39.1,27.0,0.8119,ELEVE
Garoua,9.302134,13.397152,accident_route,4,2026-02-04 09:57:38,9,2,10.0,26.6,31.8,0.8811,ELEVE
Ngaoundéré,7.330745,13.576843,glissement,5,2026-04-05 01:25:38,1,6,,,,0.7901,ELEVE
Yaoundé,3.816422,11.541499,criminalité,3,2025-08-02 22:24:38,22,5,14.0,92.9,20.6,0.7032,ELEVE
Maroua,10.620661,14.355083,glissement,1,2026-01-28 13:40:38,13,2,21.0,84.5,20.0,0.9104,ELEVE
Ngaoundéré,7.305975,13.539509,inondation,3,2025-11-26 18:45:38,18,2,16.0,103.0,31.7,0.6093,MOYEN
Yaoundé,3.894293,11.500455,inondation,2,2026-05-26 06:02:38,6,1,11.0,42.9,26.8,0.7456,ELEVE
Ebolowa,2.871674,11.109571,glissement,2,2025-07-29 01:12:38,1,1,8.0,39.7,23.6,0.5207,MOYEN
Douala,4.016583,9.812374,pollution,1,2026-03-06 13:02:38,13,4,21.0,14.2,22.1,0.7817,ELEVE
