ville,latitude,longitude,type_incident,gravite,date_signalement,heure,jour_semaine,nb_signalements_30j,precipitation_mm,temperature_c,risk_score,niveau_risque,annee,mois
Yaoundé,3.8399,11.4539,glissement,2,2026-06-08 22:56:38,22,0,8.0,23.6,24.6,0.7012,ELEVE,2026,6
Ebolowa,2.9277,11.1558,criminalité,2,2025-12-22 13:35:38,13,0,12.0,65.3,37.6,0.3625,MOYEN,2025,12
Maroua,10.5683,14.3581,accident_route,5,2025-10-17 05:06:38,5,4,8.0,82.5,25.2,1.0,ELEVE,2025,10
Ebolowa,2.8849,11.193,criminalité,4,2026-04-10 12:00:38,12,4,11.0,77.1,27.0,0.3423,FAIBLE,2026,4
Douala,4.0098,9.7587,inondation,4,2025-07-20 18:47:38,18,6,21.0,15.2,35.3,1.0,ELEVE,2025,7
Bertoua,4.5346,13.6428,inondation,1,2025-12-22 20:41:38,20,0,13.0,60.1,27.9,0.6112,MOYEN,2025,12
Garoua,9.2742,13.3751,inondation,4,2026-04-12 17:49:38,17,6,19.0,113.6,36.3,0.7614,ELEVE,2026,4
Yaoundé,3.8448,11.4987,glissement,2,2026-02-25 09:17:38,9,2,10.0,118.1,31.2,0.6666,ELEVE,2026,2
Ngaoundéré,7.3384,13.6017,inondation,5,2026-03-26 02:42:38,2,3,13.0,60.1,27.9,0.6635,ELEVE,2026,3
Ngaoundéré,7.3345,13.6057,inondation,5,2025-09-17 22:11:38,22,2,24.0,82.6,20.5,0.7041,ELEVE,2025,9
Bafoussam,5.4327,10.4542,pollution,1,2025-06-29 03:56:38,3,6,1.0,31.5,18.8,0.5056,MOYEN,2025,6
Ngaoundéré,7.2922,13.6203,accident_route,3,2026-03-09 16:23:38,16,0,15.0,106.2,27.5,0.4077,MOYEN,2026,3
Yaoundé,3.8209,11.4598,inondation,4,2026-03-05 02:02:38,2,3,2.0,115.3,19.6,0.9582,ELEVE,2026,3
Bafoussam,5.5113,10.3882,accident_route,3,2025-11-09 14:05:38,14,6,25.0,40.4,19.9,0.5914,MOYEN,2025,11
Ngaoundéré,7.3587,13.5488,criminalité,5,2026-03-20 01:37:38,1,4,19.0,36.0,34.3,0.6784,ELEVE,2026,3
Yaoundé,3.8796,11.4745,pollution,4,2026-03-26 16:19:38,16,3,4.0,88.3,31.1,0.7443,ELEVE,2026,3
Ngaoundéré,7.2876,13.6232,accident_route,1,2025-09-13 01:00:38,1,5,23.0,89.1,26.2,0.5903,MOYEN,2025,9
Yaoundé,3.7991,11.499,inondation,3,2025-10-22 14:42:38,14,2,19.0,24.6,34.6,0.7785,ELEVE,2025,10
Bafoussam,5.4391,10.4218,pollution,2,2026-02-03 15:03:38,15,1,19.0,113.8,31.2,0.4688,MOYEN,2026,2
Maroua,10.5949,14.3148,inondation,1,2025-09-02 20:21:38,20,1,23.0,16.3,21.3,0.8417,ELEVE,2025,9
Garoua,9.2814,13.3774,inondation,1,2026-04-02 06:31:38,6,3,21.0,27.4,19.8,0.7127,ELEVE,2026,4
Ngaoundéré,7.2908,13.5627,inondation,4,2025-10-27 05:24:38,5,0,15.0,80.6,29.0,0.6847,ELEVE,2025,10
Ebolowa,2.9238,11.1705,accident_route,5,2026-03-30 18:54:38,18,0,16.0,48.0,28.3,0.5816,MOYEN,2026,3
Maroua,10.6432,14.3546,inondation,5,2026-03-08 12:17:38,12,6,12.0,60.3,31.3,1.0,ELEVE,2026,3
Yaoundé,3.8368,11.5325,criminalité,4,2026-01-26 05:31:38,5,0,4.0,40.8,36.8,0.726,ELEVE,2026,1
Ebolowa,2.864,11.1518,criminalité,5,2025-11-04 20:46:38,20,1,8.0,99.7,19.7,0.6123,MOYEN,2025,11
Ngaoundéré,7.3121,13.5402,inondation,2,2025-11-10 07:23:38,7,0,7.0,64.7,32.5,0.5965,MOYEN,2025,11
Maroua,10.6355,14.3527,accident_route,1,2025-08-23 05:05:38,5,5,19.0,108.1,21.7,0.8141,ELEVE,2025,8
Bertoua,4.6205,13.7031,glissement,3,2026-02-26 14:27:38,14,3,22.0,76.4,26.8,0.6543,ELEVE,2026,2
Garoua,9.2891,13.4348,accident_route,3,2025-12-21 19:05:38,19,6,25.0,74.2,27.5,0.7865,ELEVE,2025,12
Bertoua,4.6122,13.7139,criminalité,3,2025-12-03 03:32:38,3,2,7.0,75.0,36.7,0.7543,ELEVE,2025,12
Yaoundé,3.803,11.4574,pollution,2,2025-07-17 07:45:38,7,3,11.0,51.6,29.9,0.5174,MOYEN,2025,7
Bafoussam,5.4982,10.435,accident_route,3,2025-08-29 13:46:38,13,4,7.0,52.7,26.3,0.5572,MOYEN,2025,8
Garoua,9.2593,13.4352,inondation,3,2026-01-26 20:35:38,20,0,19.0,10.8,31.4,0.995,ELEVE,2026,1
Ebolowa,2.8597,11.1242,incendie,2,2025-08-19 14:04:38,14,1,1.0,74.7,23.1,0.4494,MOYEN,2025,8
Maroua,10.5915,14.3529,criminalité,5,2025-09-17 22:33:38,22,2,13.0,43.8,31.1,0.9402,ELEVE,2025,9
Ngaoundéré,7.3405,13.6249,accident_route,5,2025-08-12 07:42:38,7,1,5.0,45.2,37.7,0.7113,ELEVE,2025,8
Bertoua,4.5509,13.6587,inondation,4,2026-03-29 14:31:38,14,6,10.0,38.7,30.8,0.8332,ELEVE,2026,3
Bafoussam,5.4718,10.44,inondation,2,2025-12-12 23:11:38,23,4,16.0,119.8,27.3,0.5178,MOYEN,2025,12
Garoua,9.3339,13.3827,inondation,2,2026-03-24 02:50:38,2,1,1.0,71.9,27.8,0.6517,ELEVE,2026,3
Ebolowa,2.8816,11.1507,inondation,4,2026-02-24 02:47:38,2,1,12.0,98.5,28.3,0.6486,MOYEN,2026,2
Douala,4.0817,9.7507,glissement,4,2026-01-15 02:11:38,2,3,23.0,76.0,22.6,1.0,ELEVE,2026,1
Maroua,10.5855,14.2896,inondation,5,2025-07-06 21:44:38,21,6,15.0,12.3,35.4,1.0,ELEVE,2025,7
Bertoua,4.5508,13.7299,criminalité,1,2026-02-19 00:41:38,0,3,12.0,61.6,20.2,0.5652,MOYEN,2026,2
Yaoundé,3.8264,11.4655,inondation,3,2026-02-07 01:24:38,1,5,17.0,99.5,27.4,0.7393,ELEVE,2026,2
Bertoua,4.5616,13.703,pollution,3,2025-08-01 01:22:38,1,4,24.0,49.6,34.8,0.6459,MOYEN,2025,8
Yaoundé,3.8312,11.5376,accident_route,2,2025-10-28 03:16:38,3,1,10.0,76.7,32.0,0.5698,MOYEN,2025,10
Ebolowa,2.9415,11.1034,pollution,3,2025-10-26 17:38:38,17,6,21.0,59.5,30.3,0.4966,MOYEN,2025,10
Douala,4.0335,9.7604,criminalité,5,2025-12-24 22:12:38,22,2,21.0,33.4,37.2,1.0,ELEVE,2025,12
Bafoussam,5.4874,10.3723,incendie,4,2026-02-23 23:56:38,23,0,3.0,65.8,22.8,0.64,MOYEN,2026,2
Douala,4.0986,9.7996,glissement,1,2025-09-26 11:32:38,11,4,5.0,112.6,20.5,0.7687,ELEVE,2025,9
Ebolowa,2.9208,11.1062,incendie,5,2026-04-19 18:40:38,18,6,13.0,60.1,27.9,0.6373,MOYEN,2026,4
Ebolowa,2.8575,11.1987,pollution,5,2025-08-23 14:34:38,14,5,16.0,113.6,21.3,0.6259,MOYEN,2025,8
Ngaoundéré,7.3558,13.5754,incendie,4,2025-12-26 22:15:38,22,4,1.0,34.2,25.0,0.5993,MOYEN,2025,12
Yaoundé,3.8672,11.537,inondation,5,2025-08-07 05:30:38,5,3,11.0,103.6,18.2,0.9448,ELEVE,2025,8
Bafoussam,5.491,10.4547,inondation,3,2025-12-11 05:36:38,5,3,13.0,78.0,35.0,0.648,MOYEN,2025,12
Ebolowa,2.9095,11.1051,incendie,1,2026-06-05 18:49:38,18,4,18.0,67.6,18.7,0.416,MOYEN,2026,6
Bertoua,4.564,13.7094,accident_route,4,2025-08-06 01:14:38,1,2,14.0,40.0,31.4,0.7726,ELEVE,2025,8
Bertoua,4.5401,13.6461,inondation,5,2025-07-21 23:34:38,23,0,5.0,28.4,23.2,0.8567,ELEVE,2025,7
Ebolowa,2.8956,11.1369,glissement,3,2025-12-16 05:28:38,5,1,5.0,61.0,26.1,0.5085,MOYEN,2025,12
Bafoussam,5.5279,10.4603,glissement,5,2025-09-19 04:30:38,4,4,15.0,75.7,30.7,0.8211,ELEVE,2025,9
Bertoua,4.5682,13.6952,inondation,5,2025-12-23 05:40:38,5,1,16.0,75.0,33.2,0.7798,ELEVE,2025,12
Douala,4.0962,9.733,glissement,1,2025-10-15 09:24:38,9,2,1.0,5.3,35.3,0.7649,ELEVE,2025,10
Bertoua,4.5952,13.6541,accident_route,1,2025-10-21 15:56:38,15,1,4.0,71.3,26.9,0.5455,MOYEN,2025,10
Ebolowa,2.8855,11.1784,glissement,5,2026-02-10 20:36:38,20,1,1.0,1.4,22.2,0.5543,MOYEN,2026,2
Bertoua,4.5847,13.6961,accident_route,2,2026-01-18 17:03:38,17,6,20.0,88.0,27.2,0.6009,MOYEN,2026,1
Bertoua,4.5365,13.6556,incendie,1,2026-05-10 12:17:38,12,6,17.0,90.0,31.9,0.5073,MOYEN,2026,5
Maroua,10.5703,14.3215,accident_route,4,2025-08-08 02:14:38,2,4,23.0,68.7,23.6,0.9968,ELEVE,2025,8
Maroua,10.6147,14.3131,criminalité,4,2025-12-04 22:36:38,22,3,10.0,66.5,21.8,0.905,ELEVE,2025,12
Bertoua,4.599,13.6417,inondation,1,2025-07-09 19:23:38,19,2,4.0,11.7,35.7,0.5194,MOYEN,2025,7
Ngaoundéré,7.3211,13.6231,inondation,2,2026-05-25 02:06:38,2,0,14.0,36.1,19.2,0.5961,MOYEN,2026,5
Maroua,10.6004,14.281,criminalité,5,2025-12-21 10:53:38,10,6,7.0,23.7,21.5,1.0,ELEVE,2025,12
Garoua,9.3076,13.3946,incendie,1,2026-05-21 06:40:38,6,3,2.0,11.2,25.6,0.5819,MOYEN,2026,5
Maroua,10.6362,14.2756,glissement,5,2026-01-24 19:28:38,19,5,2.0,66.1,36.3,1.0,ELEVE,2026,1
Yaoundé,3.8783,11.545,criminalité,1,2025-07-11 01:38:38,1,4,25.0,60.5,26.5,0.549,MOYEN,2025,7
Bertoua,4.5831,13.6716,criminalité,1,2025-09-25 19:20:38,19,3,13.0,106.1,33.5,0.5986,MOYEN,2025,9
Yaoundé,3.8749,11.5466,inondation,3,2025-10-06 14:40:38,14,0,9.0,34.7,20.4,0.7804,ELEVE,2025,10
Douala,4.0457,9.7388,incendie,3,2025-12-30 00:21:38,0,1,2.0,3.9,29.1,1.0,ELEVE,2025,12
Ngaoundéré,7.3561,13.5412,criminalité,5,2026-02-06 13:07:38,13,4,8.0,7.7,18.4,0.7825,ELEVE,2026,2
Ebolowa,2.9499,11.1327,inondation,2,2025-07-25 22:10:38,22,4,7.0,28.0,31.2,0.3472,FAIBLE,2025,7
Bafoussam,5.5121,10.4054,incendie,4,2026-03-20 10:36:38,10,4,16.0,113.6,27.5,0.6366,MOYEN,2026,3
Ebolowa,2.9132,11.1156,inondation,1,2026-02-16 07:31:38,7,0,3.0,20.1,25.8,0.4253,MOYEN,2026,2
Bafoussam,5.4889,10.4435,incendie,4,2025-12-20 16:02:38,16,5,13.0,2.3,22.5,0.6718,ELEVE,2025,12
Bafoussam,5.5153,10.3889,glissement,3,2025-07-20 10:01:38,10,6,19.0,84.6,20.8,0.5279,MOYEN,2025,7
Ebolowa,2.8981,11.1662,criminalité,3,2025-07-30 06:44:38,6,2,10.0,60.6,24.0,0.4451,MOYEN,2025,7
Maroua,10.5624,14.3623,accident_route,4,2026-04-29 19:12:38,19,2,2.0,75.1,18.2,0.9825,ELEVE,2026,4
Ebolowa,2.9192,11.1062,accident_route,1,2025-11-16 06:56:38,6,6,9.0,11.8,32.5,0.3109,FAIBLE,2025,11
Yaoundé,3.8025,11.4846,glissement,3,2026-03-03 15:24:38,15,1,4.0,104.5,24.0,0.7937,ELEVE,2026,3
Ngaoundéré,7.294,13.5663,inondation,2,2026-03-12 21:16:38,21,3,16.0,110.1,35.6,0.5678,MOYEN,2026,3
Bafoussam,5.4561,10.4528,incendie,3,2026-02-05 10:03:38,10,3,15.0,70.8,32.3,0.5228,MOYEN,2026,2
Ngaoundéré,7.35,13.5652,glissement,1,2025-11-17 06:16:38,6,0,8.0,117.6,28.2,0.5235,MOYEN,2025,11
Ngaoundéré,7.3473,13.5414,criminalité,4,2025-12-05 03:52:38,3,4,13.0,60.1,27.9,0.7836,ELEVE,2025,12
Bafoussam,5.517,10.4626,pollution,2,2025-07-21 04:14:38,4,0,18.0,33.7,28.8,0.421,MOYEN,2025,7
Ebolowa,2.8811,11.1325,inondation,4,2026-01-14 15:58:38,15,2,4.0,79.1,25.1,0.668,ELEVE,2026,1
Bafoussam,5.4935,10.3822,criminalité,2,2026-02-24 22:33:38,22,1,19.0,23.5,30.3,0.4377,MOYEN,2026,2
Ebolowa,2.9012,11.1532,accident_route,2,2026-06-17 01:20:38,1,2,20.0,0.6,19.6,0.4661,MOYEN,2026,6
Bertoua,4.5626,13.6864,incendie,4,2025-09-27 21:54:38,21,5,1.0,30.1,32.2,0.5781,MOYEN,2025,9
Garoua,9.3481,13.4032,inondation,4,2025-08-09 12:26:38,12,5,20.0,41.1,32.5,0.9263,ELEVE,2025,8
Bertoua,4.5431,13.6679,glissement,2,2025-10-23 00:54:38,0,3,12.0,75.7,31.5,0.6676,ELEVE,2025,10
Ngaoundéré,7.3246,13.6123,inondation,3,2025-10-06 07:09:38,7,0,23.0,112.4,31.0,0.6551,ELEVE,2025,10
Garoua,9.3261,13.4127,glissement,3,2026-01-01 09:59:38,9,3,25.0,85.8,25.7,0.7501,ELEVE,2026,1
Bertoua,4.5612,13.677,incendie,2,2025-11-13 00:32:38,0,3,13.0,60.1,27.9,0.4787,MOYEN,2025,11
Douala,4.0184,9.7559,inondation,5,2025-10-13 10:29:38,10,0,19.0,118.5,27.6,1.0,ELEVE,2025,10
Ngaoundéré,7.3621,13.6303,inondation,5,2026-05-14 04:03:38,4,3,25.0,116.0,26.7,0.6862,ELEVE,2026,5
Ngaoundéré,7.3731,13.5724,criminalité,5,2025-12-31 00:51:38,0,2,11.0,104.4,37.6,0.601,MOYEN,2025,12
Bafoussam,5.4483,10.3834,inondation,5,2026-04-25 20:45:38,20,5,19.0,4.9,35.3,0.7204,ELEVE,2026,4
Maroua,10.5619,14.3339,inondation,4,2025-10-11 21:58:38,21,5,4.0,21.1,32.6,1.0,ELEVE,2025,10
Ngaoundéré,7.3734,13.598,accident_route,4,2025-11-21 12:00:38,12,4,5.0,1.7,20.2,0.7389,ELEVE,2025,11
Ngaoundéré,7.3759,13.6204,criminalité,3,2026-04-30 23:09:38,23,3,21.0,117.6,37.0,0.576,MOYEN,2026,4
Ngaoundéré,7.3178,13.6012,inondation,4,2026-05-30 13:17:38,13,5,15.0,62.7,31.5,0.7299,ELEVE,2026,5
Garoua,9.3033,13.3898,inondation,4,2026-02-21 16:47:38,16,5,13.0,108.3,21.3,1.0,ELEVE,2026,2
Maroua,10.5704,14.3488,inondation,5,2026-02-06 03:09:38,3,4,20.0,81.6,20.4,1.0,ELEVE,2026,2
Ngaoundéré,7.3633,13.5651,criminalité,5,2026-03-28 00:21:38,0,5,10.0,68.1,36.0,0.6757,ELEVE,2026,3
Maroua,10.6381,14.3621,inondation,5,2026-04-27 06:12:38,6,0,15.0,53.0,31.5,1.0,ELEVE,2026,4
Douala,4.0336,9.7449,inondation,3,2025-07-10 03:04:38,3,3,11.0,23.6,24.6,0.9437,ELEVE,2025,7
Ebolowa,2.8955,11.1675,inondation,3,2025-09-10 15:45:38,15,2,1.0,72.8,21.5,0.6008,MOYEN,2025,9
Ebolowa,2.9451,11.1175,criminalité,2,2025-06-22 06:44:38,6,6,11.0,2.0,25.2,0.4005,MOYEN,2025,6
Maroua,10.5625,14.3301,glissement,5,2025-08-21 04:42:38,4,3,2.0,41.7,26.6,1.0,ELEVE,2025,8
Bafoussam,5.4794,10.3963,inondation,1,2026-02-10 22:37:38,22,1,17.0,13.9,24.2,0.3998,MOYEN,2026,2
Ebolowa,2.9188,11.1438,glissement,1,2026-03-03 14:20:38,14,1,6.0,27.6,28.3,0.3565,MOYEN,2026,3
Bertoua,4.5374,13.7171,accident_route,5,2025-12-06 09:59:38,9,5,9.0,21.4,37.3,0.7969,ELEVE,2025,12
Ngaoundéré,7.3074,13.5701,pollution,2,2026-06-06 00:36:38,0,5,16.0,75.8,34.2,0.437,MOYEN,2026,6
Yaoundé,3.814,11.4983,pollution,5,2025-07-12 01:15:38,1,5,20.0,37.9,36.0,0.8805,ELEVE,2025,7
Yaoundé,3.8036,11.5012,glissement,4,2025-11-10 05:57:38,5,0,13.0,60.1,27.9,0.8364,ELEVE,2025,11
Maroua,10.5514,14.3294,pollution,3,2026-02-21 19:39:38,19,5,11.0,96.5,27.4,0.929,ELEVE,2026,2
Maroua,10.6203,14.3218,inondation,5,2025-06-23 08:58:38,8,0,7.0,110.5,35.0,1.0,ELEVE,2025,6
Bafoussam,5.4995,10.3761,criminalité,5,2025-11-12 15:57:38,15,2,17.0,66.2,28.4,0.5466,MOYEN,2025,11
Ngaoundéré,7.3448,13.5906,incendie,4,2026-01-21 03:39:38,3,2,24.0,65.5,30.1,0.7171,ELEVE,2026,1
Ngaoundéré,7.3129,13.6153,glissement,1,2026-06-16 08:14:38,8,1,19.0,67.6,29.3,0.5415,MOYEN,2026,6
Ebolowa,2.8814,11.1242,criminalité,5,2026-01-12 06:50:38,6,0,19.0,78.0,22.1,0.5322,MOYEN,2026,1
Ebolowa,2.8972,11.188,incendie,4,2026-01-18 14:45:38,14,6,19.0,71.8,20.9,0.5898,MOYEN,2026,1
Ngaoundéré,7.3331,13.6034,inondation,4,2026-06-16 08:30:38,8,1,7.0,0.9,37.7,0.5631,MOYEN,2026,6
Ebolowa,2.9089,11.1375,glissement,1,2025-07-08 19:55:38,19,1,11.0,94.5,18.9,0.5001,MOYEN,2025,7
Bafoussam,5.458,10.4029,accident_route,5,2025-08-05 06:44:38,6,1,10.0,41.7,18.1,0.7258,ELEVE,2025,8
Bertoua,4.5921,13.695,inondation,1,2025-08-25 04:29:38,4,0,6.0,16.2,28.3,0.5115,MOYEN,2025,8
Maroua,10.5514,14.3713,inondation,2,2026-03-22 19:02:38,19,6,25.0,54.9,32.9,0.8756,ELEVE,2026,3
Bertoua,4.5849,13.7108,incendie,4,2026-04-17 10:12:38,10,4,13.0,68.4,24.4,0.5865,MOYEN,2026,4
Ebolowa,2.862,11.1735,criminalité,5,2026-06-12 13:17:38,13,4,1.0,74.0,36.2,0.6978,ELEVE,2026,6
Douala,4.0987,9.7516,glissement,3,2025-07-27 21:37:38,21,6,22.0,47.5,20.0,0.8913,ELEVE,2025,7
Douala,4.0368,9.7533,criminalité,3,2025-09-01 15:08:38,15,0,25.0,10.8,24.1,0.814,ELEVE,2025,9
Bafoussam,5.4993,10.3907,accident_route,1,2026-01-18 23:13:38,23,6,18.0,55.9,19.2,0.3147,FAIBLE,2026,1
Bafoussam,5.4421,10.4465,accident_route,5,2026-03-20 12:24:38,12,4,21.0,20.2,36.8,0.7434,ELEVE,2026,3
Maroua,10.6089,14.3676,inondation,5,2026-03-07 16:39:38,16,5,13.0,35.5,19.1,1.0,ELEVE,2026,3
Maroua,10.5641,14.3086,criminalité,4,2025-06-25 23:35:38,23,2,17.0,111.9,20.7,0.9015,ELEVE,2025,6
Yaoundé,3.8751,11.5366,glissement,1,2026-05-22 22:46:38,22,4,24.0,87.3,20.1,0.6874,ELEVE,2026,5
Ngaoundéré,7.3787,13.5368,inondation,3,2026-05-15 11:25:38,11,4,14.0,77.8,23.8,0.5657,MOYEN,2026,5
Garoua,9.3134,13.3879,incendie,2,2026-02-12 11:27:38,11,3,14.0,116.1,29.1,0.6073,MOYEN,2026,2
Douala,4.0011,9.769,inondation,2,2025-11-14 11:58:38,11,4,6.0,33.1,31.9,0.8822,ELEVE,2025,11
Ebolowa,2.8837,11.1143,inondation,4,2026-05-15 07:33:38,7,4,2.0,102.5,24.5,0.516,MOYEN,2026,5
Ngaoundéré,7.3461,13.5898,incendie,5,2026-04-21 03:25:38,3,1,21.0,105.1,33.7,0.7328,ELEVE,2026,4
Yaoundé,3.8292,11.5027,criminalité,5,2025-10-10 14:39:38,14,4,13.0,95.6,35.0,0.8924,ELEVE,2025,10
Bertoua,4.6245,13.6872,glissement,1,2025-10-16 15:58:38,15,3,12.0,38.8,18.3,0.6283,MOYEN,2025,10
Ebolowa,2.9484,11.1288,pollution,2,2026-05-31 04:41:38,4,6,7.0,62.4,31.6,0.5138,MOYEN,2026,5
Ngaoundéré,7.3019,13.606,incendie,1,2026-01-20 04:11:38,4,1,24.0,104.7,30.6,0.3817,MOYEN,2026,1
Bertoua,4.6103,13.732,criminalité,4,2025-08-26 12:58:38,12,1,1.0,15.1,24.9,0.5907,MOYEN,2025,8
Douala,4.0796,9.7887,inondation,4,2025-08-11 12:56:38,12,0,16.0,65.8,18.5,0.9764,ELEVE,2025,8
Garoua,9.2588,13.3878,glissement,4,2025-09-19 22:15:38,22,4,5.0,54.9,21.9,0.9756,ELEVE,2025,9
Yaoundé,3.8704,11.4642,inondation,2,2026-04-14 06:43:38,6,1,1.0,90.8,31.2,0.7963,ELEVE,2026,4
Douala,4.0191,9.7417,inondation,2,2026-05-12 18:57:38,18,1,16.0,101.3,24.2,0.9017,ELEVE,2026,5
Bafoussam,5.4755,10.3768,incendie,4,2025-11-15 07:17:38,7,5,25.0,66.0,27.1,0.6255,MOYEN,2025,11
Ngaoundéré,7.3072,13.5691,incendie,5,2026-01-06 09:39:38,9,1,8.0,112.3,22.4,0.8294,ELEVE,2026,1
Garoua,9.3384,13.4391,incendie,5,2026-02-01 00:41:38,0,6,10.0,93.4,28.1,0.844,ELEVE,2026,2
Bertoua,4.6064,13.6686,accident_route,4,2026-02-25 14:57:38,14,2,19.0,3.7,33.2,0.6401,MOYEN,2026,2
Garoua,9.2532,13.383,inondation,2,2025-11-25 23:44:38,23,1,23.0,79.8,21.2,0.6887,ELEVE,2025,11
Garoua,9.2943,13.3928,accident_route,2,2025-11-09 15:53:38,15,6,3.0,64.6,26.9,0.72,ELEVE,2025,11
Yaoundé,3.8547,11.4778,glissement,3,2026-06-01 20:19:38,20,0,24.0,13.9,35.0,0.7319,ELEVE,2026,6
Maroua,10.6118,14.3495,accident_route,1,2025-09-15 20:40:38,20,0,13.0,21.7,34.1,0.5707,MOYEN,2025,9
Douala,4.0121,9.7468,pollution,5,2025-12-01 22:29:38,22,0,2.0,59.0,36.7,1.0,ELEVE,2025,12
Bafoussam,5.4846,10.3736,criminalité,1,2026-04-26 21:18:38,21,6,23.0,65.9,27.4,0.5874,MOYEN,2026,4
Bafoussam,5.5027,10.4253,glissement,5,2025-10-26 14:59:38,14,6,22.0,104.0,20.6,0.7258,ELEVE,2025,10
Yaoundé,3.8133,11.5107,accident_route,5,2025-10-05 03:12:38,3,6,22.0,57.4,25.5,0.9697,ELEVE,2025,10
Bafoussam,5.511,10.3952,incendie,4,2025-07-12 15:50:38,15,5,11.0,67.9,31.2,0.5152,MOYEN,2025,7
Ngaoundéré,7.3249,13.5641,inondation,4,2025-11-11 04:58:38,4,1,14.0,22.2,37.0,0.6571,ELEVE,2025,11
Garoua,9.2599,13.3958,incendie,2,2025-07-28 01:29:38,1,0,16.0,6.5,26.7,0.7481,ELEVE,2025,7
Ngaoundéré,7.2842,13.6124,accident_route,4,2025-08-12 15:42:38,15,1,6.0,66.0,28.1,0.5818,MOYEN,2025,8
Maroua,10.6384,14.3673,inondation,1,2026-02-11 09:56:38,9,2,21.0,83.3,33.0,0.9,ELEVE,2026,2
Ngaoundéré,7.3664,13.6322,inondation,1,2026-06-18 12:53:38,12,3,11.0,77.8,31.5,0.6227,MOYEN,2026,6
Ebolowa,2.9,11.1691,incendie,2,2026-06-20 11:49:38,11,5,22.0,63.9,26.8,0.5385,MOYEN,2026,6
Douala,4.0296,9.7216,inondation,2,2026-03-26 11:45:38,11,3,12.0,69.9,21.0,0.7165,ELEVE,2026,3
Bertoua,4.5522,13.7244,inondation,3,2025-09-07 08:05:38,8,6,24.0,112.1,22.5,0.6051,MOYEN,2025,9
Ngaoundéré,7.3264,13.6054,criminalité,4,2025-09-19 20:37:38,20,4,12.0,63.1,27.7,0.7153,ELEVE,2025,9
Bafoussam,5.5245,10.4523,glissement,1,2026-04-12 10:51:38,10,6,10.0,69.1,36.2,0.4979,MOYEN,2026,4
Douala,4.0243,9.757,glissement,4,2025-11-28 13:23:38,13,4,24.0,78.4,20.1,1.0,ELEVE,2025,11
Maroua,10.5715,14.3174,incendie,1,2025-09-21 14:10:38,14,6,4.0,76.4,30.4,0.6685,ELEVE,2025,9
Maroua,10.625,14.2837,incendie,4,2025-08-21 21:47:38,21,3,22.0,115.6,22.0,0.8679,ELEVE,2025,8
Douala,4.0589,9.7215,accident_route,2,2025-09-26 16:39:38,16,4,16.0,33.2,29.8,0.7582,ELEVE,2025,9
Yaoundé,3.8784,11.4708,accident_route,4,2026-05-23 04:28:38,4,5,17.0,38.0,23.2,0.8632,ELEVE,2026,5
Ebolowa,2.9424,11.1971,inondation,3,2025-06-23 22:13:38,22,0,20.0,45.6,35.2,0.4435,MOYEN,2025,6
Douala,4.0534,9.7294,inondation,1,2025-07-12 14:03:38,14,5,2.0,24.2,27.7,0.826,ELEVE,2025,7
Maroua,10.5769,14.3015,glissement,3,2025-07-14 03:09:38,3,0,5.0,102.4,35.5,0.8881,ELEVE,2025,7
Ngaoundéré,7.2909,13.6319,incendie,4,2025-09-22 03:43:38,3,0,9.0,13.0,26.8,0.6475,MOYEN,2025,9
Garoua,9.2582,13.4153,pollution,1,2026-05-03 20:39:38,20,6,2.0,61.8,36.2,0.6747,ELEVE,2026,5
Ebolowa,2.852,11.1322,accident_route,1,2026-05-10 02:28:38,2,6,8.0,86.2,23.8,0.3763,MOYEN,2026,5
Ebolowa,2.9457,11.1069,inondation,1,2025-09-30 00:39:38,0,1,25.0,11.3,31.3,0.4341,MOYEN,2025,9
Bafoussam,5.4791,10.4171,glissement,1,2025-12-20 01:03:38,1,5,2.0,14.1,28.3,0.2896,FAIBLE,2025,12
Garoua,9.2938,13.4188,accident_route,4,2025-12-11 21:44:38,21,3,2.0,98.0,34.9,0.7757,ELEVE,2025,12
Douala,4.0666,9.7452,criminalité,5,2025-12-21 11:23:38,11,6,19.0,20.0,21.1,1.0,ELEVE,2025,12
Douala,4.0775,9.7319,criminalité,2,2025-07-16 18:16:38,18,2,22.0,72.6,18.8,0.9557,ELEVE,2025,7
Ebolowa,2.8868,11.1068,accident_route,4,2025-11-28 10:16:38,10,4,22.0,14.2,18.1,0.4548,MOYEN,2025,11
Garoua,9.2797,13.4273,inondation,2,2026-05-14 11:07:38,11,3,24.0,71.8,36.9,0.8204,ELEVE,2026,5
Ngaoundéré,7.3482,13.6329,criminalité,5,2026-04-24 01:37:38,1,4,22.0,43.6,27.1,0.8311,ELEVE,2026,4
Yaoundé,3.892,11.5475,glissement,2,2025-07-01 05:01:38,5,1,8.0,15.1,31.4,0.6343,MOYEN,2025,7
Douala,4.0215,9.7702,accident_route,3,2025-07-10 09:43:38,9,3,19.0,45.8,33.6,0.9719,ELEVE,2025,7
Bertoua,4.5839,13.7069,criminalité,5,2025-07-07 02:14:38,2,0,13.0,103.2,33.5,0.682,ELEVE,2025,7
Douala,4.0791,9.7655,incendie,4,2026-02-19 07:07:38,7,3,9.0,105.5,36.7,0.9249,ELEVE,2026,2
Garoua,9.2829,13.4052,accident_route,3,2026-01-17 03:28:38,3,5,12.0,4.0,18.8,0.7693,ELEVE,2026,1
